proposal_id,voting_power,ARB_snapshot_block
0xa06500740b56c647f25bd3edba80bf05b00140afe99d6b0d27c0f1dc93287901,703527.2960788487,407242379
0x12bad84219d04c54cd72231ad8fe883499e85c14762919a06aaa7a251d64b8da,696006.7420788486,404725381
0x0a3a7b84c7c01cc0feb8a7fad662cbf1f5aeb1b089b205ce412e2bc01d99c504,696006.7420788486,402232858
0x2253b8cdf0d483adf4dd1e9c4a9f473184a51a0ee3e8e826371c203f376edbc6,696006.7420788486,402232221
0x4a96a91d162975de0d402b83ca8b8a24e808ca357150120fc0d44ae0bf1cc4a5,696105.7420788486,399883901
0x23702e34d0ffdabe6e17315f81daaf4119a36d108326473a6e063a35da5ba281,696105.7420788486,397377564
0x44dedacbdae958904427db9ee93065917f57f50b71b4e87a94a318de18df399b,698071.5700808687,392608038
0xb9e775ba4f1fa8cdc8e45c342428c3dabff7f19ce7b8cc4bde7cc6c8e542d963,702557.9333663491,390233909
0xdfdf56e53e2a77968c2c124be9210a5f33cb2261cca00e1d6b04f8bb6dfa626d,702557.9333663491,390130115
0xc5f06144fa92aaff99e0e44482ab6f7a3f6486dfb6c854d16271399ffcf895e6,702557.9333663491,387744004
0x15d7bef4adb076e13fbbc0941543eb93cff9512e2c83ada0498ef1df290c67a5,707531.9690128214,382940332
0xb41324ddcc115d08149b192e0b8ae4cfad0ef39cecb5663ea63d8a460d2cb3cc,701027.3995256538,375741873
0xb1a39a0b7543e03cbb7aca0213448f4fbed4cbf1157fcb1b2458540fb452bc73,701027.3995256538,375739231
0x33754da4006d0ef38666ec5d5e85fd0966a891a594ab9dc21f23beedea2d330b,700928.3995296445,373255749
0x008f190725018c3db0e6464bf31d44f09a4d7773fd1486dff0c52c27b8aba289,96937.5662156077,363598966
0x95a85f5d3d82215793ba9771ff06610d2ba9e2eaf58cdba904d7a9cb5b8bdc94,96838.56591161893,361124017
0xd5a66f784523841511f7ffec4171b9c14404fdbf7c205086312084d19c95c193,96838.56591161893,360880355
0xd3d164905fee7dfd8516db6150a97f7f91cf6f9377f614fa6a82333c4fb20546,96838.56591161893,358809105
0xc08147e229fa642ee7da2e5180f225122b8c517024902f21cdcd02b376179b8d,96838.56591161893,356326070
0x586de5bf366820c4369c041b0bbad2254d78fafe1dcc1528c1ed661bb4dfb671,96838.56591161893,356341477
0x320cd2a99a0544184c06e1bd305aab1fc226ab0b498e077bc857a07045194f43,96838.56591161893,355947208
0xeb044e3bdeba71e74dea02abeab4c33fe4bf5ab9def50082863702d5e2112b93,96860.05938273601,349029783
0xfab795313df4ef1023c5f7f9027857637cc3841d62dc0b54796fbfa5f8096919,96860.05938273601,349004435
0x65b2b835f03bc18aa401b88702145e6b7686e8d7ddddfd956837251f8a7a7da1,96860.05938273601,346604790
0x38663c36b26252acff6c6ca43663167858f51f960235dc0441bd2ad4a8f66fb1,96860.05938273601,346692962
0xfd373c58adbb013a05c778b71ccffb19e5bbefb8a100232f67eced33c58e22f7,99363.27851875202,344236413
