proposal_id,proposal_type,ARB_snapshot_block,ETH_snapshot_block
0xaa831b9306c3ec4f4a9b9731e7c445e540e5a24461a79f1166cb8dcdfa692d09,offchain,257409990,""
0x852b7e7bc83db6c3628695816647bdeb9825d10e445a71dcc94e651b2f8a71b9,offchain,255139955,""
0x1326cb522a74b29fb12d52bb302b245180c2b8f6e1fe8f295c4447bd96a5bacd,offchain,255275216,""
0x8f242363dbc69d640799b461b27ba7b957ab13af87389b699639ba335b8b5e91,offchain,252903863,""
0x41bc78325225705741c2eaebd9352bde74c2b28867e1a7321ccab0fa8fd5c2b7,offchain,254837206,""
0xffe9bb38228fdaf3d121140856fd2d51c2ca7f8e0d1021c07e791cebb541129a,offchain,252743759,""
0xd05fe5e629072098183d454fb5084715a19d5b3285af2b87c3dad7b61d614954,offchain,252873424,""
0x785e8ed145d34ab4c9fea725cf0ce31267f90bc2ed4423e6e718c5e736e84c06,offchain,252556661,""


32 onchain votes, of which 20 are non-constitutional and 12 are constitutional
